'00010	What can I practise here?	Complete the sentences. Choose all possible correct answers.	[ 'm not knowing ; wasn't knowing ; don't know ; doesn't know ]	don't know	I ... how she stays so fit.	I don't know how she stays so fit.
'00020	What can I practise here?	Complete the sentences. Choose all possible correct answers.	[ is saying ; say ; was saying ; says ]	says	It ... here that you’re supposed to add the garlic just before serving.	It says here that you’re supposed to add the garlic just before serving.
'00030	What can I practise here?	Complete the sentences. Choose all possible correct answers.	[ we ever had ; we've ever had ; we had ever ; we've had ever ]	we've ever had	It's the first time ... a complaint about the service we offer.	It's the first time we've ever had a complaint about the service we offer.
'00040	What can I practise here?	Complete the sentences. Choose all possible correct answers.	[ was driving ; drove ; drives ; is driving ]	drove	He ... to the south of France twice last month to visit his parents.	He drove to the south of France twice last month to visit his parents.
'00050	What can I practise here?	Complete the sentences. Choose all possible correct answers.	[ had left ; left ; leaves ; has left ]	had left	I was so late getting to the airport that my flight ... and I had to travel later that day.	I was so late getting to the airport that my flight had left and I had to travel later that day.
'00060	What can I practise here?	Complete the sentences. Choose all possible correct answers.	[ haven't been knowing ; haven't known ; don't know ; hadn't been knowing ]	haven't known	I ... Mark very long.	I haven't known Mark very long.
'00070	What can I practise here?	Complete the sentences. Choose all possible correct answers.	[ had been talking ; had talked ; talked ; has been talking ]	had been talking	Natalie walked into a tree branch and cut her head. She ... on her mobile and didn't notice it.	Natalie walked into a tree branch and cut her head. She had been talking on her mobile and didn't notice it.
'00080	What can I practise here?	Complete the sentences. Choose all possible correct answers.	[ has already flown ; already flew ; had already flown ; had already been flying ]	had already flown	By the time I got out my binoculars, the bird ... away.	By the time I got out my binoculars, the bird had already flown away.
'00090	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	[ appear ; expect ; fit ; have ; measure ; think ]	is appearing	At the moment he ... as Hamlet at the Shakespeare Theatre.	At the moment he is appearing as Hamlet at the Shakespeare Theatre.
'00100	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	[ appear ; expect ; fit ; have ; measure ; think ]	think	I ... people should be allowed to vote at the age of 16.	I think people should be allowed to vote at the age of 16.
'00110	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	[ appear ; expect ; fit ; have ; measure ; think ]	fits	<b>A</b>: I hope you like the jumper. I didn’t know your size.<br /><b>B</b>: It’s lovely and it ... me perfectly.	<b>A</b>: I hope you like the jumper. I didn’t know your size.<br /><b>B</b>: It’s lovely and it fits me perfectly.
'00120	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	[ appear ; expect ; fit ; have ; measure ; think ]	measures	The kitchen ... about 3 metres wide and 12 metres long.	The kitchen measures about 3 metres wide and 12 metres long.
'00130	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	[ appear ; expect ; fit ; have ; measure ; think ]	am measuring	I ... the window for some new curtains.	I am measuring the window for some new curtains.
'00140	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	[ appear ; expect ; fit ; have ; measure ; think ]	expect	We ... books to be returned to the library on time.	We expect books to be returned to the library on time.
'00150	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	[ appear ; expect ; fit ; have ; measure ; think ]	has	You must know Marie. She ... red hair and green eyes.	You must know Marie. She has red hair and green eyes.
'00160	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	[ appear ; expect ; fit ; have ; measure ; think ]	are having	It's sunny and warm here, and we ... a great holiday.	It's sunny and warm here, and we are having a great holiday.
'00170	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	[ appear ; expect ; fit ; have ; measure ; think ]	are fitting	The builders ... a new shower today so we can’t use the bathroom.	The builders are fitting a new shower today so we can’t use the bathroom.
'00180	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	[ appear ; expect ; fit ; have ; measure ; think ]	appear	Judging by your reaction you ... to have heard the news already.	Judging by your reaction you appear to have heard the news already.
'00190	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	[ appear ; expect ; fit ; have ; measure ; think ]	is thinking	<b>A</b>: What’s Carolina going to do at university?<br /><b>B</b>: She ... of doing medicine.	<b>A</b>: What’s Carolina going to do at university?<br /><b>B</b>: She is thinking of doing medicine.
'00200	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	[ appear ; expect ; fit ; have ; measure ; think ]	am expecting	Has the post come yet? I ... a very important letter.	Has the post come yet? I am expecting a very important letter.
'00210	Unit 1: Present continuous and present simple 1	Complete the sentences with the correct verb form. If both forms are correct, choose both.	[ don’t guarantee ; am not guaranteeing ]	don’t guarantee / am not guaranteeing	You’re very welcome to come to the concert, but I ... that you’ll enjoy the music.	You’re very welcome to come to the concert, but I don’t guarantee / am not guaranteeing that you’ll enjoy the music.
'00220	Unit 1: Present continuous and present simple 1	Complete the sentences with the correct verb form. If both forms are correct, choose both.	[ congratulate ; am congratulating ]	congratulate	I ... you all for doing so well in your final examinations.	I congratulate you all for doing so well in your final examinations.
