00010	What can I practise here?	Complete the sentences. Choose all possible correct answers.	I {{c1::don't know}} how she stays so fit.	'm not knowing;wasn't knowing;don't know;doesn't know
00020	What can I practise here?	Complete the sentences. Choose all possible correct answers.	It {{c1::says}} here that you’re supposed to add the garlic just before serving.	is saying;say;was saying;says
00030	What can I practise here?	Complete the sentences. Choose all possible correct answers.	It's the first time {{c1::we've ever had}} a complaint about the service we offer.	we ever had;we've ever had;we had ever;we've had ever
00040	What can I practise here?	Complete the sentences. Choose all possible correct answers.	He {{c1::drove}} to the south of France twice last month to visit his parents.	was driving;drove;drives;is driving
00050	What can I practise here?	Complete the sentences. Choose all possible correct answers.	I was so late getting to the airport that my flight {{c1::had left}} and I had to travel later that day.	had left;left;leaves;has left
00060	What can I practise here?	Complete the sentences. Choose all possible correct answers.	I {{c1::haven't known}} Mark very long.	haven't been knowing;haven't known;don't know;hadn't been knowing
00070	What can I practise here?	Complete the sentences. Choose all possible correct answers.	Natalie walked into a tree branch and cut her head. She {{c1::had been talking}} on her mobile and didn't notice it.	had been talking;had talked;talked;has been talking
00080	What can I practise here?	Complete the sentences. Choose all possible correct answers.	By the time I got out my binoculars, the bird {{c1::had already flown}} away.	has already flown;already flew;had already flown;had already been flying
00090	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	At the moment he {{c1::is appearing}} as Hamlet at the Shakespeare Theatre.	appear;expect;fit;have;measure;think
00100	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	I {{c1::think}} people should be allowed to vote at the age of 16.	appear;expect;fit;have;measure;think
00110	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	<b>A</b>: I hope you like the jumper. I didn’t know your size.<br /><b>B</b>: It’s lovely and it {{c1::fits}} me perfectly.	appear;expect;fit;have;measure;think
00120	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	The kitchen {{c1::measures}} about 3 metres wide and 12 metres long.	appear;expect;fit;have;measure;think
00130	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	I {{c1::am measuring}} the window for some new curtains.	appear;expect;fit;have;measure;think
00140	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	We {{c1::expect}} books to be returned to the library on time.	appear;expect;fit;have;measure;think
00150	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	You must know Marie. She {{c1::has}} red hair and green eyes.	appear;expect;fit;have;measure;think
00160	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	It's sunny and warm here, and we {{c1::are having}} a great holiday.	appear;expect;fit;have;measure;think
00170	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	The builders {{c1::are fitting}} a new shower today so we can’t use the bathroom.	appear;expect;fit;have;measure;think
00180	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	Judging by your reaction you {{c1::appear}} to have heard the news already.	appear;expect;fit;have;measure;think
00190	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	<b>A</b>: What’s Carolina going to do at university?<br /><b>B</b>: She {{c1::is thinking}} of doing medicine.	appear;expect;fit;have;measure;think
00200	Unit 1: Present continuous and present simple 1	Complete the sentences. Use the present continuous or present simple form of a verb from the list.	Has the post come yet? I {{c1::am expecting}} a very important letter.	appear;expect;fit;have;measure;think
00210	Unit 1: Present continuous and present simple 1	Complete the sentences with the correct verb form. If both forms are correct, choose both.	You’re very welcome to come to the concert, but I {{c1::don’t guarantee / am not guaranteeing}} that you’ll enjoy the music.	don’t guarantee;am not guaranteeing
00220	Unit 1: Present continuous and present simple 1	Complete the sentences with the correct verb form. If both forms are correct, choose both.	I {{c1::congratulate}} you all for doing so well in your final examinations.	congratulate;am congratulating
00230	Unit 1: Present continuous and present simple 1	Complete the sentences with the correct verb form. If both forms are correct, choose both.	<b>A</b>: What did you think of Professor Welch's lecture?<br /><b>B</b>: I {{c1::confess}} I didn't understand a word!	confess;am confessing
00240	Unit 1: Present continuous and present simple 1	Complete the sentences with the correct verb form. If both forms are correct, choose both.	That piece {{c1::sounds / is sounding}} a lot better than when I last heard you play it.	sounds;is sounding
00250	Unit 1: Present continuous and present simple 1	Complete the sentences with the correct verb form. If both forms are correct, choose both.	I'm terrified of flying, so I {{c1::prefer}} going by car or boat.	prefer;am preferring
00260	Unit 1: Present continuous and present simple 1	Complete the sentences with the correct verb form. If both forms are correct, choose both.	<b>A</b>: What's that noise?<br /><b>B</b>: You {{c1::are imagining}} things. There's no one else in the house.	imagine;are imagining
00270	Unit 1: Present continuous and present simple 1	Complete the sentences with the correct verb form. If both forms are correct, choose both.	I phone home every day, but it {{c1::costs / is costing}} me a fortune.	costs;is costing
00280	Unit 1: Present continuous and present simple 1	Complete the sentences with the correct verb form. If both forms are correct, choose both.	Police {{c1::believe}} that the robbers may already have left the country.	believe;are believing
00290	Unit 1: Present continuous and present simple 1	Complete the sentences with the correct verb form. If both forms are correct, choose both.	It was very kind of Karen to offer to lend you the money as she isn't terribly well off. Of course, I {{c1::don't suggest / am not suggesting}} you refuse her offer.	don't suggest;am not suggesting
00300	Unit 1: Present continuous and present simple 1	Complete the sentences with the correct verb form. If both forms are correct, choose both.	Apparently Daniel {{c1::is considering}} going back to live in Spain.	considers;is considering
00310	Unit 1: Present continuous and present simple 1	Complete the sentences with the correct verb form. If both forms are correct, choose both.	I thought the job would be easy, but actually I {{c1::find / am finding}} it really difficult.	find;am finding
00320	Unit 1: Present continuous and present simple 1	Complete the sentences with the correct verb form. If both forms are correct, choose both.	I {{c1::refuse}} to accept the court’s decision, and I plan to appeal against it.	refuse;am refusing
00330	Unit 2: Present continuous and present simple 2	Are the underlined verbs correct? If not, correct them with either the present continuous or present simple.	I {{c1::understand}} <u>'m understanding</u> you wish to make a complaint about the hotel.	choiceA;ChoiceB
00340	Unit 2: Present continuous and present simple 2	Are the underlined verbs correct? If not, correct them with either the present continuous or present simple.	I {{c1::hear}} <u>hear</u> you're getting married. Congratulations!	choiceA;ChoiceB
00350	Unit 2: Present continuous and present simple 2	Are the underlined verbs correct? If not, correct them with either the present continuous or present simple.	Amy {{c1::tells}} <u>is telling</u> me you teach the piano. I'd really like some lessons if you've got time.	choiceA;ChoiceB
00360	Unit 2: Present continuous and present simple 2	Are the underlined verbs correct? If not, correct them with either the present continuous or present simple.	I {{c1::see}} <u>am seeing</u> that they're forecasting heavy snow for the weekend.	choiceA;ChoiceB
