 Well, I wanted to name him after his dad, Denton Winslow Crocker.	 ฉันอยากตั้งชื่อเขาตามพ่อของเขา เดนตัน วินสโลว์ คร็อกเกอร์
 So that was the name we chose.	 นั่นเป็นชื่อที่พวกเราเลือก
 He was a colicky little baby.	 เขาเป็นทารกตัวน้อยร้องไห้โยเย (ฌ็อง-มารี คร็อกเกอร์) (ซาราโทกาสปริงส์ นิวยอร์ก)
 And, uh, so we were up night and day with him.	 (ฌ็อง-มารี คร็อกเกอร์) (ซาราโทกาสปริงส์ นิวยอร์ก) เราก็เลยตื่นมาดูแลเขาทั้งวันทั้งคืน
 And my husband was a wonderful dad and very loving and attentive.	 สามีของฉันเป็นพ่อที่ยอดเยี่ยม เขารักและเอาใจใส่มาก
 He'd walk the floor with him.	 เขาอุ้มลูกเดินไปเดินมา
 And then he said one day, "He's a regular little mogul the way he rules our lives." So that's where the name came from.	 แล้ววันหนึ่งเขาก็พูดว่า "เขาเป็นผู้มีอำนาจตัวน้อยที่ธรรมดา เพราะเขามีอิทธิพลต่อชีวิตเรา นั่นจึงเป็นที่มาของชื่อ
 We called him Mogie.	 เราเรียกเขาว่าโมกี้
 Mogie Crocker was born June 3, 1947, the oldest of four children.	 โมกี้ คร็อกเกอร์เกิดวันที่ 3 มิถุนายน 1947 เป็นลูกคนโตในบรรดาพี่น้องสี่คน
 His father was a biology teacher, and Mogie was raised in college towns.	 พ่อของเขาเป็นครูสอนชีววิทยา และโมกี้ถูกเลี้ยงในเมืองของมหาวิทยาลัย
 Ithaca, Amherst, and finally Saratoga Springs, to which the family moved in 1960, when he was 13.	 อิทากา แอมเฮิร์ส และสุดท้ายที่ซาราโทกาสปริงส์ ที่ครอบครัวย้ายมาในปี 1960 ตอนที่เขาอายุ 13 ปี
 My mother read books to all of us.	 แม่ของฉันอ่านหนังสือให้เราทุกคนฟัง (แครอล คร็อกเกอร์) (ซาราโทกาสปริงส์ นิวยอร์ก)
 My brother was definitely the one who probably gravitated towards that more than I did.	 แน่นอนว่าพี่ชายของฉัน เป็นคนที่สนใจเรื่องนั้นมากกว่าฉัน
 He really feasted on books.	 เขาเพลิดเพลินกับหนังสือจริงๆ
 Mogie was an unusual boy.	 โมกี้เป็นเด็กที่ไม่ธรรมดา
 Intelligent, independent-minded, and too nearsighted to do well at team sports, he loved books about American history and American heroes.	 ฉลาด มีความคิดอิสระ และสายตาสั้นมาก เกินกว่าที่จะเล่นกีฬาเป็นทีมได้ดี เขาชอบหนังสือประวัติศาสตร์ และฮีโร่ของอเมริกา
 At 12, he started a diary in which he kept track of Cold War events.	 ตอนอายุ 12 ปี เขาเริ่มเขียนสมุดบันทึก ที่เขาติดตามเหตุการณ์สงครามเย็น
 "I hate Reds!" he wrote, and he admired most those who had proved willing to sacrifice themselves for a cause.	 เขาเขียนว่า "ผมเกลียดฝ่ายแดง" และเขาชื่นชมบุคคลที่พิสูจน์ว่ายินดี ที่จะเสียสละตัวเองเพื่อสงคราม
 President John F. Kennedy's call for every American to ask what he or she could do for their country had mirrored ideas he'd held since he was a small boy.	 ประธานาธิบดีจอห์น เอฟ เคนเนดี้ เรียกร้องต่อชาวอเมริกันทุกคน เพื่อถามถึงสิ่งที่เขาหรือเธอ อาจทำเพื่อประเทศของพวกเขาได้ เป็นการสะท้อนถึงความคิดที่เขามี ตั้งแต่เขายังเป็นเด็กชายตัวน้อย
 One evening when I was reading to Denton before he went to sleep, I chose a passage from Henry V, which is, "He today that sheds his blood with me shall be my brother.	 ค่ำวันหนึ่งตอนที่ฉันอ่านหนังสือ ให้เดนตันฟังก่อนเข้านอน ค่ำวันหนึ่งตอนที่ฉันอ่านหนังสือ ให้เดนตันฟังก่อนเข้านอน ฉันเลือกบทความจากเรื่องเฮนรีที่ห้า ซึ่งมีอยู่ว่า "เขาในวันนี้ที่ร่วมหลั่งเลือดกับข้า จักเป็นพี่น้องข้า
 And gentlemen in England now a-bed shall think themselves accurs'd they were not here and hold their manhood cheap while any speaks that fought with us upon St. Crispin's Day." I think that it was that sort of thing that made Denton want to be part of something important and brave.	 และเหล่าสุภาพบุรุษแห่งอังกฤษทั้งหลายเอ๋ย จงให้พวกเขาตรองด้วยตนเองเถิดว่า หากพวกเขาไม่ได้ปรากฏขึ้นที่นี่ จงให้พวกเขาตรองด้วยตนเองเถิดว่า หากพวกเขาไม่ได้ปรากฏขึ้นที่นี่ แลเกียรติแห่งบุรุษของพวกเขาก็ยิ่งลดต่ำลง เมื่อได้เอ่ยแต่ละถ้อยคำออกมา ว่าพวกเขาจะต่อยุทธกับเราในวันคริสเปียน" ฉันคิดว่าเรื่องราวพวกนั้น ทำให้เดนตันอยากเป็นส่วนหนึ่ง ของเรื่องที่สำคัญและกล้าหาญ
 I just stayed awake last night thinking about this thing.	 เมื่อคืนผมนอนไม่หลับเฝ้าคิดถึงแต่เรื่องนี้
 The more I think of it, I don't know what in the hell...	 (ลินดอน จอห์นสัน) (ประธานาธิบดีของสหรัฐอเมริกา) ยิ่งผมคิดถึงมัน ผมยิ่งไม่รู้ว่าทำไม...
 it looks like to me we're getting into another Korea.	 สำหรับผมมันดูเหมือน เราจะเข้าสู่สงครามเกาหลีอีก
 It just worries the hell out of me.	 มันทำให้ผมกังวลเป็นบ้าเลย
 I don't see what we can ever hope to get out of there with once we're committed.	 ผมไม่เห็นว่าเราจะหวังอะไรได้ เพื่อให้ออกมาจากที่นั่น เมื่อเราเข้าร่วมแล้ว
 I don't think it's worth fighting for and I don't think we can get out.	 ผมคิดว่ามันไม่คุ้มที่จะต่อสู้ และคิดว่าเราจะไม่สามารถออกมาได้
 And it's just the biggest damn mess I ever saw.	 และมันเป็นความยุ่งเหยิง ร้ายแรงที่สุดที่ผมเคยเห็นมาเลย
 It is, it's an awful mess.	 มันเป็นความยุ่งเหยิงที่ร้ายแรงจริงๆ
 I just thought about ordering those kids in there, and what in the hell am I ordering them out there for? One thing that has occurred to me-- What the hell is Vietnam worth to me? What is it worth to this country? Yeah, yeah.	 (แมคจอร์จ บันดี้) (ที่ปรึกษาฝ่ายความมั่นคงแห่งชาติ) ผมเคยคิดที่จะสั่งให้เด็กพวกนั้นไปที่นั่น แล้วทำไมผมถึงสั่งให้พวกเขาออกมาจากที่นั่นเสีย สิ่งหนึ่งที่เกิดขึ้นกับผม เวียดนามมีค่ากับผมยังไง มันมีค่ากับประเทศนี้ยังไง ใช่ครับ ใช่
