English-BattleFieldVN01-1  BATTLEFIELD VIETNAM  ; xxx 
English-BattleFieldVN01-2  Dien Bien Phu - The Legacy  ; xxx 
English-BattleFieldVN01-3  Between 1945 and 1975, Indochina was racked...  ; xxx 
English-BattleFieldVN01-4  ...by one of the longest and most  bitter wars of the century.  ; xxx 
English-BattleFieldVN01-5  The battle for Vietnam drew in millions of soldiers  ; xxx 
English-BattleFieldVN01-6  Vietnamese, French,  American Australian, Korean and British...  ; xxx 
English-BattleFieldVN01-7  ...and profoundly affected the lives of vast numbers of civilians.  ; xxx 
English-BattleFieldVN01-8  The American war, which lasted from 1960 to 1975  ; xxx 
English-BattleFieldVN01-9  was a conflict fought with extreme ferocity and destructiveness.  ; xxx 
English-BattleFieldVN01-10  There was on the ground a guerrilla war, firefights  ; xxx 
English-BattleFieldVN01-11  merciless search and destroy operations and endless sieges.  ; xxx 
English-BattleFieldVN01-12  And also an air war of extreme intensity.  ; xxx 
English-BattleFieldVN01-13  8 millions tons of bombs wroke havoc on the landscape and people.  ; xxx 
English-BattleFieldVN01-14  The war that cost 1.3 million lives including 58,000 American dead  ; xxx 
English-BattleFieldVN01-15  was about much more than the fate of one small country.  ; xxx 
English-BattleFieldVN01-16  20 years before the first American combat soldier set foot in Vietnam...  ; xxx 
English-BattleFieldVN01-17  ...the seeds for America's war had been sown.  ; xxx 
English-BattleFieldVN01-18  THE COLD WAR  ; xxx 
English-BattleFieldVN01-19  With the partitioning of Europe, East and West after WWII...  ; xxx 
English-BattleFieldVN01-20  ...the Western powers were on the alert for communist gains...  ; xxx 
English-BattleFieldVN01-21  ...in the territories of the old empires.  ; xxx 
English-BattleFieldVN01-22  Soviet expansion in Europe was perceived as the greatest threat.  ; xxx 
English-BattleFieldVN01-23  In October 1949 Mao Tse Tung proclaimed the People's Republic of China.  ; xxx 
English-BattleFieldVN01-24  The battle lines of the Cold War were now clearly drawn.  ; xxx 
English-BattleFieldVN01-25  To American strategists, the communist victory in China...  ; xxx 
English-BattleFieldVN01-26  ...fueled the fear of Soviet and communist expansion.  ; xxx 
English-BattleFieldVN01-27  At stake, they believed, were economic interests throughout Asia and the Pacific...  ; xxx 
English-BattleFieldVN01-28  ...and U.S. communication and trade links to the Indian Ocean.  ; xxx 
English-BattleFieldVN01-29  President Eisenhower believed that one Asian country falling to communism...  ; xxx 
English-BattleFieldVN01-30  ...would bring down its neighbors in a Domino Effect.  ; xxx 
English-BattleFieldVN01-31  Soviet and Chinese power would advance Southwards...  ; xxx 
English-BattleFieldVN01-32  ...until even the Australian continent was threatened.  ; xxx 
English-BattleFieldVN01-33  It was Indochina that seemed to hold the key...  ; xxx 
English-BattleFieldVN01-34  ...to the future of Southern Asia.  ; xxx 
English-BattleFieldVN01-35  The region bordered the newly created Chinese People's Republic  ; xxx 
English-BattleFieldVN01-36  and was still a French colony.  ; xxx 
English-BattleFieldVN01-37  The French strategy was to hold on to power...  ; xxx 
English-BattleFieldVN01-38  by creating puppet states in Vietnam...  ; xxx 
English-BattleFieldVN01-39  ...Laos...  ; xxx 
English-BattleFieldVN01-40  ...and Cambodia.  ; xxx 
English-BattleFieldVN01-41  The biggest obstacle to the French plan was the Vietminh  ; xxx 
English-BattleFieldVN01-42  a huge Vietnamese independence movement.  ; xxx 
English-BattleFieldVN01-43  In September 1945 under the leadership of Ho Chi Minh  ; xxx 
English-BattleFieldVN01-44  the Vietnamese League for Independence known as the Vietminh...  ; xxx 
English-BattleFieldVN01-45  ...took Hanoi from the Japanese occupying forces...  ; xxx 
English-BattleFieldVN01-46  ...and declared independence for the Democratic Republic of Vietnam.  ; xxx 
English-BattleFieldVN01-47  In the South, the Japanese surrendered to the British.  ; xxx 
English-BattleFieldVN01-48  However, France still considered Vietnam her colony.  ; xxx 
English-BattleFieldVN01-49  General Gracey, the British commander, ordered the Japanese rearmed...  ; xxx 
English-BattleFieldVN01-50  ...to fight the Vietminh to retake the colony.  ; xxx 
English-BattleFieldVN01-51  Thus the French Indochina war began.  ; xxx 
English-BattleFieldVN01-52  In the war between the French and the Vietminh...  ; xxx 
English-BattleFieldVN01-53  The U.S. had until recently stayed strictly neutral.  ; xxx 
English-BattleFieldVN01-54  U.S. officials had originally supported the Vietminh and its leader Ho Chi Minh  ; xxx 
English-BattleFieldVN01-55  and they also strongly opposed the French attempt to keep their old colony.  ; xxx 
English-BattleFieldVN01-56  However, that was before the rise of communist China.  ; xxx 
English-BattleFieldVN01-57  Now the fear was that if the Vietminh beat the French  ; xxx 
English-BattleFieldVN01-58  they would open the door to the Chinese and the Soviets.  ; xxx 
English-BattleFieldVN01-59  Cold war politics had come to Vietnam.  ; xxx 
English-BattleFieldVN01-60  DIEN BIEN PHU  ; xxx 
English-BattleFieldVN01-61  The Soviet Union and China recognized the Vietminh  ; xxx 
English-BattleFieldVN01-62  as the only legitimate government of Vietnam in January, 1950.  ; xxx 
English-BattleFieldVN01-63  Already China was giving Ho Chi Minh arms, ammunition and training bases.  ; xxx 
English-BattleFieldVN01-64  The US for its part recognized a French creation the state of Vietnam...  ; xxx 
English-BattleFieldVN01-65  ...and US president Harry Truman approved a program...  ; xxx 
English-BattleFieldVN01-66  ...of military and economic help.  ; xxx 
English-BattleFieldVN01-67  But even before the order was signed the situation changed dramatically.  ; xxx 
English-BattleFieldVN01-68  In June, 1950 war broke out in Korea.  ; xxx 
English-BattleFieldVN01-69  Communist northern forces, backed by the Soviet Union and China...  ; xxx 
English-BattleFieldVN01-70  ...invaded the South, and the U.S. sent troops to intervene.  ; xxx 
English-BattleFieldVN01-71  By October, American units were locked in combat...  ; xxx 
English-BattleFieldVN01-72  ...with Chinese divisions on the Korean battlefield.  ; xxx 
English-BattleFieldVN01-73  Now it seemed to the US more important than ever...  ; xxx 
English-BattleFieldVN01-74  ...to contain China on every possible front.  ; xxx 
English-BattleFieldVN01-75  That meant a massive increase in backing for the French in Vietnam.  ; xxx 
