Tiếng Anh Lớp 3(Tập 2) :: Welcome to Toomva.com::Chào _ ừng đến _ ới Toomva.com ; Chào mừng đến với Toomva.com
Tiếng Anh Lớp 3(Tập 2) :: English 4 - Student book 1::T_ ế_ g anh 4 - _ ách họ_  sinh 1 ; Tiếng anh 4 - Sách học sinh 1
Tiếng Anh Lớp 3(Tập 2) :: Written by Hoang Van Van, Nguyen Quoc Tuan, An Ha, Do Thi Ngoc Hien, Dao Ngoc Loc, Truong Thi Ngoc Minh::Được viế_  _ _ i Hoàng Văn Vân, Nguy_ n Quốc Tuấn, An Hà, Đỗ _ hị Ngọc Hiề_ , _ ào Ngọc Lộc, T_ ương Thị _ gọ_  Minh ; Được viết bởi Hoàng Văn Vân, Nguyễn Quốc Tuấn, An Hà, Đỗ Thị Ngọc Hiền, Đào Ngọc Lộc, Trương Thị Ngọc Minh
Tiếng Anh Lớp 3(Tập 2) :: With cooperation from Ken Wilson::_ ới sự hợp tác từ Ken W_ _ _ o_  ; Với sự hợp tác từ Ken Wilson
Tiếng Anh Lớp 3(Tập 2) :: Published by The Ministry of Education and Training::Xu_ t b_ n bởi _ ộ _ iáo dụ_  _ à Đào _ ạo ; Xuất bản bởi Bộ Giáo dục và Đào tạo
Tiếng Anh Lớp 3(Tập 2) :: Vietnam Education Publishing House and McMillan MPC::Nh_  _ uất bả_  Giáo dụ_  Việt Na_  v_  M_ Millan MPC ; Nhà xuất bản Giáo dục Việt Nam và McMillan MPC
Tiếng Anh Lớp 3(Tập 2) :: Produced by educational materials joint stock company and recorded by MacMillan MPC::_ _ _  _ _ ấ_  bởi Công ty cổ phẩn _ ật _ iệu _ iáo _ ục _ _  ghi âm _ ởi _ cM_ _ lan _ _ C ; Sản xuất bởi Công ty cổ phẩn vật liệu giáo dục và ghi âm bởi McMillan MPC
Tiếng Anh Lớp 3(Tập 2) :: Copyright Vietnam Education Publishing House and McMillan MPC 2015::_ ản q_ yền thu_ c về _ hà xuất bả_  _ iáo _ _ c Vi_ t Nam v_  M_ Mi_ lan _ PC, 2015 ; Bản quyền thuộc về Nhà xuất bản giáo dục Việt Nam và McMillan MPC, 2015
Tiếng Anh Lớp 3(Tập 2) :: CD1 - Page 6 - Unit 1: Nice to see you again::Đĩ_  1 - _ _ ang 6 - Bài 1: Rất vui _ ượ_  gặp l_ i b_ n ; Đĩa 1 - Trang 6 - Bài 1: Rất vui được gặp lại bạn
Tiếng Anh Lớp 3(Tập 2) :: Lesson 1: Activity 1: Look, listen and repeat::Bài học 1: Hoạt _ _ ng 1: N_ ì_ , nghe và lặp _ ại ; Bài học 1: Hoạt động 1: Nhìn, nghe và lặp lại
Tiếng Anh Lớp 3(Tập 2) :: A. Good morning class - Good morning miss Hien::_ . Ch_ o buổi sáng _ _  l_ p - Ch_ o buổi _ áng c_  Hiền ; A. Chào buổi sáng cả lớp - Chào buổi sáng cô Hiền
Tiếng Anh Lớp 3(Tập 2) :: B. Nice to see you again::B. Rất vui được g_ p _ ại ; B. Rất vui được gặp lại
Tiếng Anh Lớp 3(Tập 2) :: C. How are you, Mai? - I'm very well, thank you::C. Em th_  nà_ , M_ _ ? - Em rấ_  khỏe, cảm _ n _ ô ; C. Em thế nào, Mai? - Em rất khỏe, cảm ơn cô
Tiếng Anh Lớp 3(Tập 2) :: And you? - I'm very well too::Còn _ ô? - Cô cũng rấ_  kh_ e ; Còn cô? - Cô cũng rất khỏe
Tiếng Anh Lớp 3(Tập 2) :: D. Good morning miss Hien. Sorry i'm late - Yes, come in::C_ ào b_ ổi _ _ ng cô Hiền. Xin lỗi em _ ớ_  _ _ _ n - Ừ, và_  đ_  ; Chào buổi sáng cô Hiền. Xin lỗi em tới muộn - Ừ, vào đi
Tiếng Anh Lớp 3(Tập 2) :: Page 6: Activity 2: Point and say::Trang 6: _ oạt động 2: C_ ỉ và n_ i ; Trang 6: hoạt động 2: Chỉ và nói
Tiếng Anh Lớp 3(Tập 2) :: Good morning miss Hien! - Good morning Mai!::Chà_  buổi s_ ng _ ô Hiền - C_ ào buổi s_ _ _  Mai! ; Chào buổi sáng cô Hiền - Chào buổi sáng Mai!
Tiếng Anh Lớp 3(Tập 2) :: A.Good morning B.Good afternoon C.Good evening::A. Chào buổ_  sáng B. _ h_ o _ uổ_  chiều C. _ hào _ u_ i tối ; A. Chào buổi sáng B. Chào buổi chiều C. Chào buổi tối
Tiếng Anh Lớp 3(Tập 2) :: Page 7: Activity 3: Listen and tick::T_ _ ng 7: Ho_ _  động 3: Nghe và tích ; Trang 7: Hoạt động 3: Nghe và tích
Tiếng Anh Lớp 3(Tập 2) :: 1. Good afternoon miss Hien! - Hi Nam!::1. _ hào buổi chiều c_  Hiền! - Chào N_ m! ; 1. Chào buổi chiều cô Hiền! - Chào Nam!
Tiếng Anh Lớp 3(Tập 2) :: How are you? - I'm very well, thank you.::Em t_ ế _ à_ ? Em rất tốt, c_ m _ n cô. ; Em thế nào? Em rất tốt, cảm ơn cô.
Tiếng Anh Lớp 3(Tập 2) :: And you? - Fine, thanks.::Cò_  _ _ ? - _ ốt, cả_  _ n em ; Còn cô? - Tốt, cảm ơn em
Tiếng Anh Lớp 3(Tập 2) :: 2. Good morning Mr. Luck! - Good morning Phong!::Chào b_ ổ_  sáng _ hầy Luck! - Ch_ _  b_ _ i sáng Phong ; Chào buổi sáng thầy Luck! - Chào buổi sáng Phong
Tiếng Anh Lớp 3(Tập 2) :: It's nice to see you again. - Nice to see you too.::Rất v_ _  đượ_  _ ặp _ ạ_  thầ_ . - Rấ_  vui đ_ ợc gặp lại em ; Rất vui được gặp lại thầy. - Rất vui được gặp lại em
Tiếng Anh Lớp 3(Tập 2) :: 3. Good bye Jackie - Bye bye, see you soon::3. T_ m biệt Jackie - t_ m b_ ệt, g_ p lại sau ; 3. Tạm biệt Jackie - tạm biệt, gặp lại sau
Tiếng Anh Lớp 3(Tập 2) :: Page 7: Activity 5: Let's sing Good morning to you!::Tran_  7: H_ ạt độ_ g 5: H_ y cùn_  h_ _  Chào b_ ổi sáng! ; Trang 7: Hoạt động 5: Hãy cùng hát Chào buổi sáng!
Tiếng Anh Lớp 3(Tập 2) :: Good morning to you!::Chào buổi sá_ g! ; Chào buổi sáng!
Tiếng Anh Lớp 3(Tập 2) :: Good morning dear miss Hien::Chào buổi sáng _ ô _ iền ; Chào buổi sáng cô Hiền
Tiếng Anh Lớp 3(Tập 2) :: Good morning to you!::C_ ào buổi s_ ng! ; Chào buổi sáng!
Tiếng Anh Lớp 3(Tập 2) :: Good morning dear children::Chà_  buổi s_ _ g các em t_ ân yê_  ; Chào buổi sáng các em thân yêu
Tiếng Anh Lớp 3(Tập 2) :: Good morning to you!::Chào buổ_  sáng! ; Chào buổi sáng!
Tiếng Anh Lớp 3(Tập 2) :: Page 8: Lesson 2: Activity 1: Look, listen and repeat::_ r_ ng 8: Bài 2: _ oạt _ ộng 1: Nhì_ , nghe và _ ặ_  lại ; Trang 8: Bài 2: Hoạt động 1: Nhìn, nghe và lặp lại
Tiếng Anh Lớp 3(Tập 2) :: A. Good morning miss Hien! I'm Hoa, i'm a new pupil::_ . Ch_ o buổi sáng c_  _ _ ền! _ m l_  Hoa, _ m là học s_ nh mới ; A. Chào buổi sáng cô Hiền! Em là Hoa, em là học sinh mới
Tiếng Anh Lớp 3(Tập 2) :: B. Hi Hoa! It's nice to meet you! - Nice to meet you too!::B. Chào Hoa! Th_ _  vui _ ược g_ p _ m! - Em _ ấ_  _ u_  kh_  được gặ_  c_ ! ; B. Chào Hoa! Thật vui được gặp em! - Em rất vui khi được gặp cô!
Tiếng Anh Lớp 3(Tập 2) :: C. Goodbye miss Hien - Bye Hoa, see you tomorrow!::C. Tạm biệt cô Hiề_  - Tạm biệt Hoa, hẹn gặp _ m ngày m_ i! ; C. Tạm biệt cô Hiền - Tạm biệt Hoa, hẹn gặp em ngày mai!
Tiếng Anh Lớp 3(Tập 2) :: Page 8: Activity 2: Point and say::Trang 8: _ ct_ vi_ y 2: _ hỉ và n_ i ; Trang 8: Activity 2: Chỉ và nói
Tiếng Anh Lớp 3(Tập 2) :: Goodbye miss Hien - Goodbye, see you tomorrow::Tạm biệt cô Hiền - _ _ m b_ ệt, gặp lại c_ c em vào ngày mai ; Tạm biệt cô Hiền - Tạm biệt, gặp lại các em vào ngày mai
Tiếng Anh Lớp 3(Tập 2) :: Page 9: Activity 4: Listen and number::Trang 9: Ho_ t độn_  4: N_ he và _ ánh s_  ; Trang 9: Hoạt động 4: Nghe và đánh số
Tiếng Anh Lớp 3(Tập 2) :: 1. Good morning miss Hien! - Good morning!::1. Chào buổi _ _ _ g _ ô Hiền! - Chào buổi s_ ng! ; 1. Chào buổi sáng cô Hiền! - Chào buổi sáng!
Tiếng Anh Lớp 3(Tập 2) :: What's your name? - My name's Tom. T-O-M Tom White, I'm from America.::T_ _  _ m là gì? - Em tên là Tom. T-O-M Tom white, em đến _ ừ M_  ; Tên em là gì? - Em tên là Tom. T-O-M Tom white, em đến từ Mỹ
Tiếng Anh Lớp 3(Tập 2) :: 2. Hello, I'm Tom! I'm from America - Hello Tom, I'm Mai, I'm from Viet Nam::2. Xin chào, tớ l_  T_ m! _ ớ đến từ Mỹ - C_ ào Tom, t_  là _ ai, t_  đ_ n từ _ i_ tNam ; 2. Xin chào, tớ là Tom! Tớ đến từ Mỹ - Chào Tom, tớ là Mai, tớ đến từ VietNam
Tiếng Anh Lớp 3(Tập 2) :: Nice to meet you, Mai - Nice to meet you too::Rất _ ui đ_ ợc g_ _  cậu, _ ai - R_ t vui được _ ặp _ _ u ; Rất vui được gặp cậu, Mai - Rất vui được gặp cậu
Tiếng Anh Lớp 3(Tập 2) :: 3. Hi Tom, how are you? - Hi Phong, I'm very well, thank you!::Chào Tom, _ ạn th_  nào? - Chào Ph_ ng, tớ rất khỏe, c_ m ơn! ; Chào Tom, bạn thế nào? - Chào Phong, tớ rất khỏe, cảm ơn!
Tiếng Anh Lớp 3(Tập 2) :: And you? - I'm fine thanks::Còn bạn? - Tớ c_ n_  khỏe, cảm ơn ; Còn bạn? - Tớ cũng khỏe, cảm ơn
Tiếng Anh Lớp 3(Tập 2) :: 4. Gook bye Mr.Luck - bye bye Tom, see you tomorrow::_ ạm b_ ệt th_ y L_ _ k - _ ạm biệt Tom, _ ẹn gặp em ngày _ a_  ; Tạm biệt thầy Luck - Tạm biệt Tom, hẹn gặp em ngày mai
Tiếng Anh Lớp 3(Tập 2) :: Page 10: Lesson 3: Activity 1: Listen and repeat::T_ ang 10: _ ài 3: _ _ ạ_  _ ộng 1: _ ghe và lặ_  lại ; Trang 10: Bài 3: Hoạt động 1: Nghe và lặp lại
Tiếng Anh Lớp 3(Tập 2) :: L- Linda, Hello Linda!::L-Lind_ , xin chào _ inda! ; L-Linda, xin chào Linda!
Tiếng Anh Lớp 3(Tập 2) :: N- Night, Good night!::N- _ gủ ngon, N_ ủ _ _ o_  _ _ é! ; N- Ngủ ngon, Ngủ ngon nhé!
Tiếng Anh Lớp 3(Tập 2) :: Page 10: Activity 2: Listen and circle then write and say aloud::Trang 10: Hoạt _ _ _ g 2: Nghe và khoan_  trò_  rồi vi_ t _ _ ống và đọc to ; Trang 10: Hoạt động 2: Nghe và khoanh tròn rồi viết xuống và đọc to
Tiếng Anh Lớp 3(Tập 2) :: 1. Hello, I'm Nam::1. _ i_  chà_ , tớ là Nam ; 1. Xin chào, tớ là Nam
Tiếng Anh Lớp 3(Tập 2) :: 2. I'm from England::2. T_  _ ế_  từ A_ h Quốc ; 2. Tớ đến từ Anh Quốc
Tiếng Anh Lớp 3(Tập 2) :: 3. Hello, My name's Linda::Xin _ hào, t_ n tớ là Linda ; Xin chào, tên tớ là Linda
Tiếng Anh Lớp 3(Tập 2) :: 4. Good night!::4. Chú_  ngủ ngon! ; 4. Chúc ngủ ngon!
Tiếng Anh Lớp 3(Tập 2) :: Page 10: Activity 3: Let's chant: Hello friends::Trang 10: Hoạt động 3: Cùn_  đọc va_ g: _ _ ào bạn ; Trang 10: Hoạt động 3: Cùng đọc vang: Chào bạn
Tiếng Anh Lớp 3(Tập 2) :: One, two, three, four, hello i'm Linda I'm from England - Nice to meet you Linda::Một, _ ai, ba, bốn, _ i_  chào t_  là _ inda, tớ đến _ ừ Anh Quốc - _ ất vu_  _ ược gặp cậu, Linda ; Một, hai, ba, bốn, xin chào tớ là Linda, tớ đến từ Anh Quốc - Rất vui được gặp cậu, Linda
Tiếng Anh Lớp 3(Tập 2) :: Hello, I'm Nam, I'm from VietNam - Nice to meet you Nam::Chào, t_  là Nam, t_  đ_ _  _ ừ V_ ệt N_ m - Rấ_  _ u_  đượ_  _ ặp _ ậu, Nam ; Chào, tớ là Nam, tớ đến từ Việt Nam - Rất vui được gặp cậu, Nam
Tiếng Anh Lớp 3(Tập 2) :: Hello Linda! - Hello Nam! We're friends::Chào Linda! - chào N_ m! C_ úng ta _ _  bạ_  ; Chào Linda! - chào Nam! Chúng ta là bạn
Tiếng Anh Lớp 3(Tập 2) :: Page 12: Unit 2: I'm from Japan::_ rang 12: Bài 2: Tô_  đến từ Jap_ n ; Trang 12: Bài 2: Tôi đến từ Japan
Tiếng Anh Lớp 3(Tập 2) :: Lesson1: Activity 1: Look, listen and repeat::Bài 1: H_ _ t động 1: Nhìn, n_ he và nh_ _  _ ại ; Bài 1: Hoạt động 1: Nhìn, nghe và nhắc lại
Tiếng Anh Lớp 3(Tập 2) :: A. Nice work! - Thanks::A. Làm tốt _ ắm! - _ ảm _ _  ; A. Làm tốt lắm! - Cảm ơn
Tiếng Anh Lớp 3(Tập 2) :: B. Hi, I'm Nam - Hi Nam, I'm Akiko, nice to meet you!::B. _ _ ào, t_  _ _  Na_  - Chà_  Nam, tớ _ à A_ _ ko, r_ _  vui _ _ ợc gặp cậu! ; B. Chào, tớ là Nam - Chào Nam, tớ là Akiko, rất vui được gặp cậu!
Tiếng Anh Lớp 3(Tập 2) :: C. Nice to meet you too, where are you from Akiko? - I'm from Japan::C. Rất _ ui được gặp cậu, cậu đến từ đâu Ak_ k_ ? - Tớ đến từ Nh_ t Bả_  ; C. Rất vui được gặp cậu, cậu đến từ đâu Akiko? - Tớ đến từ Nhật Bản
Tiếng Anh Lớp 3(Tập 2) :: D. Oh no, sorry!::_ . _ i kh_ _ g, xin lỗi! ; D. Ôi không, xin lỗi!
Tiếng Anh Lớp 3(Tập 2) :: Page 12: Activity 2: Point and say::T_ ang 12: Hoạt động 2: ch_  và nói ; Trang 12: Hoạt động 2: chỉ và nói
Tiếng Anh Lớp 3(Tập 2) :: Hi, i'm Nam, where are you from? - Hi Nam, I'm Akiko, I'm from Japan::Chà_ , tớ là Nam c_ u đến từ đ_ _ ? - Chào Nam, t_  l_  Akiko, _ ớ đến t_  Nhật bả_  ; Chào, tớ là Nam cậu đến từ đâu? - Chào Nam, tớ là Akiko, tớ đến từ Nhật bản
Tiếng Anh Lớp 3(Tập 2) :: A. Hakim - Malaysia::A. Ha_ im - Malay_ ia ; A. Hakim - Malaysia
Tiếng Anh Lớp 3(Tập 2) :: B. Tom - America::B. Tom - Ame_ _ c_  ; B. Tom - America
Tiếng Anh Lớp 3(Tập 2) :: C. Tony - Australia::C. Tony - A_ s_ rali_  ; C. Tony - Australia
Tiếng Anh Lớp 3(Tập 2) :: D. Linda - England::D. Linda - Eng_ an_  ; D. Linda - England
Tiếng Anh Lớp 3(Tập 2) :: Page 13: Activity 3: Listen and tick::Trang 13: hoạt _ ộng 3: Nghe _ _  tí_ h ; Trang 13: hoạt động 3: Nghe và tích
Tiếng Anh Lớp 3(Tập 2) :: 1. Hi, i'm Tony - Hello Tony, i'm Hakim::1. C_ ào, tớ _ à _ ony - Chà_  Tony, tớ _ à Ha_ im ; 1. Chào, tớ là Tony - Chào Tony, tớ là Hakim
Tiếng Anh Lớp 3(Tập 2) :: Nice to meet you Hakim. Where are you from? - I'm from Malaysia::Rất vui _ _ ợc _ ặp cậu, Hakim. Cậu _ ến từ đâu? - Tớ đến t_  Malaysia ; Rất vui được gặp cậu, Hakim. Cậu đến từ đâu? - Tớ đến từ Malaysia
Tiếng Anh Lớp 3(Tập 2) :: 2. Hi, my name's Quan - Hello Quan, I'm tom, nice to meet you!::2. Chà_ , tên tớ là Quân - Chào Qu_ n, t_  là T_ m, rấ_  vui được gặp cậu ; 2. Chào, tên tớ là Quân - Chào Quân, tớ là Tom, rất vui được gặp cậu
Tiếng Anh Lớp 3(Tập 2) :: Where are you from, Tom? - I'm from America::Cậu _ ến _ ừ _ âu vậy, Tom? - T_  đến từ Mỹ ; Cậu đến từ đâu vậy, Tom? - Tớ đến từ Mỹ
Tiếng Anh Lớp 3(Tập 2) :: 3.Hi, my name's Akiko - Hello Akiko, I'm Linda, nice to meet you::3. _ hà_ , tớ l_  Akiko - _ hà_  Akiko, tớ là Linda, rất vui được gặp cậu! ; 3. Chào, tớ là Akiko - Chào Akiko, tớ là Linda, rất vui được gặp cậu!
Tiếng Anh Lớp 3(Tập 2) :: Where are you from, Linda? - i'm from England::Cậu đến t_  đâu, Linda? - Tớ đến từ A_ h Q_ ốc ; Cậu đến từ đâu, Linda? - Tớ đến từ Anh Quốc
Tiếng Anh Lớp 3(Tập 2) :: Page 14: Activity 5: Let's sing: Where are you from?::Trang 14: H_ ạt động 5: Cùng hát nào: _ ạn từ _ âu tới? ; Trang 14: Hoạt động 5: Cùng hát nào: Bạn từ đâu tới?
Tiếng Anh Lớp 3(Tập 2) :: Hi, I'm Mai, from Vietnam - Hello Mai, nice to meet you::xin c_ à_ , tớ là M_ i, t_  đến từ Việt Nam - _ _ n ch_ _  Ma_ , rất v_ _  được gặp cậu ; xin chào, tớ là Mai, tớ đến từ Việt Nam - Xin chào Mai, rất vui được gặp cậu
Tiếng Anh Lớp 3(Tập 2) :: Hello, I'm Akiko, from Japan - Hello Akiko, nice to meet you::xin ch_ o, t_  là Akiko, tớ đế_  t_  Nhật B_ n- Xin chào A_ i_ o, rất _ _ _  được gặp cậu ; xin chào, tớ là Akiko, tớ đến từ Nhật Bản- Xin chào Akiko, rất vui được gặp cậu
Tiếng Anh Lớp 3(Tập 2) :: Hi, I'm Hakim, from Malaysia - Hello Hakim, nice to meet you::_ i_  chào, tớ là Hakim, _ ớ đế_  từ Ma_ aysia - _ in _ _ _ o _ ak_ _ , _ _ _  vui _ ư_ _  gặp cậu ; xin chào, tớ là Hakim, tớ đến từ Malaysia - Xin chào Hakim, rất vui được gặp cậu
Tiếng Anh Lớp 3(Tập 2) :: Hello, I'm Linda, from England - Hello Linda, nice to meet you::xi_  chào, _ ớ là Linda, t_  _ ế_  từ A_ h _ uốc - Xin _ hào Lind_ , r_ t v_ i được g_ p _ _ _  ; xin chào, tớ là Linda, tớ đến từ Anh Quốc - Xin chào Linda, rất vui được gặp cậu
Tiếng Anh Lớp 3(Tập 2) :: Page 14: Lesson 2: Activity 1: look, listen and repeat::Trang 14: _ ài 2: Hoạt động 1: Nh_ n, nghe và nhắc lại ; Trang 14: Bài 2: Hoạt động 1: Nhìn, nghe và nhắc lại
Tiếng Anh Lớp 3(Tập 2) :: A. What's your name please? - My name's Akiko::A. T_ _  c_ a _ ạn l_  g_ ? -Tên _ ớ là Akiko ; A. Tên của bạn là gì? -Tên tớ là Akiko
Tiếng Anh Lớp 3(Tập 2) :: B. Where are you from? - I'm from Japan::B. Bạn đến _ ừ đâu? - T_  đ_ n từ Japan ; B. Bạn đến từ đâu? - Tớ đến từ Japan
Tiếng Anh Lớp 3(Tập 2) :: C. What nationality are you? - I'm Japanese::C. Quốc tịch của bạn là g_ ? - N_ ật b_ n ; C. Quốc tịch của bạn là gì? - Nhật bản
Tiếng Anh Lớp 3(Tập 2) :: Page 14: Activity 2: Point and say::_ _ a_ g 14: _ oạt động 2: C_ _  và _ ó_  ; Trang 14: Hoạt động 2: Chỉ và nói
Tiếng Anh Lớp 3(Tập 2) :: What nationality are you? - I'm Japanese::Quốc tịch của bạn là gì? - _ hật bản ; Quốc tịch của bạn là gì? - Nhật bản
Tiếng Anh Lớp 3(Tập 2) :: Page 15: Activity 4: listen and number::Tr_ ng 15: _ o_ t _ ộn_  4: Ngh_  _ _  _ ánh số ; Trang 15: Hoạt động 4: Nghe và đánh số
Tiếng Anh Lớp 3(Tập 2) :: 1. Hello, I'm Hakim - Hi Hakim, I'm Mai, Nice to meet you::1. Xin chào, _ ớ là Hakim - _ h_ o Hakim, tớ là Mai, rấ_  vu_  được gặp c_ u ; 1. Xin chào, tớ là Hakim - Chào Hakim, tớ là Mai, rất vui được gặp cậu
Tiếng Anh Lớp 3(Tập 2) :: What nationality are you, Mai? - I'm VietNamese::Qu_ c _ ịch củ_  _ ậu là gì? - Tớ là ngư_ i Việt Nam ; Quốc tịch của cậu là gì? - Tớ là người Việt Nam
