CH001-00010b	Her name is Lisa.
CH001-00020b	I’m 12.
CH001-00030b	My favourite colour is green.
CH001-00040b	Her favourite sports are football and swimming.
CH001-00050b	I’m interested in politics.
CH001-00060b	I’m interested in politics.
CH001-00070b	My father is a doctor and my mother is a teacher.
CH001-00080b	I’m a teacher.
CH001-00090b	I’m Japanese. I’m from Tokyo.
CH001-00100b	I’m cold.  Can you close the door, please?
CH001-00110b	I’m 23 years old.  My sister is 21.
CH001-00120b	Steve is ill.  He’s in hospital.
CH001-00130b	My brother is scared of snakes.
CH001-00140b	It’s ten o’clock.  You’re not late.
CH001-00150b	Ann and I aren't good friends.
CH001-00160b	Your keys aren't on the table.
CH001-00170b	I’m hungry, but I’m not tired.
CH001-00180b	Lisa isn’t interested in art.  She’s interested in politics.
CH001-00190b	James isn’t a student.  He’s a teacher.
CH001-00200b	Those people aren’t Spainish.  They’re Australian.
CH001-00210b	It’s cloudy today, but it is warm.
CH001-00220b	Thank you. I'm fine. And you?
CH001-00230b	Look!  There’s Christine.
CH001-00240b	‘Here’s your book.’    ‘Thank you.’
CH002-00250b	What’s his name?  David.
CH002-00260b	Are you married?   Yes, I’m.
CH002-00270b	How old is he?    25.
CH002-00280b	Is your friend a student?    Yes, he is.
CH002-00290b	‘Am I late?’     ‘Yes, you are.’
CH002-00300b	‘Is your mother at home?’     ‘Yes, she is.’
CH002-00310b	‘Are your parents at home?’     ‘Yes, they are.’
CH002-00320b	‘Is it cold in your room?’     ‘No, It's quite hot.’
CH002-00330b	Your hat is nice.  Is it new?
CH002-00340b	Is she at work? / Is your mother at work?
CH002-00350b	Are they old? / Are your shoes old?
CH002-00360b	Who is your mother?  Is she at home?
CH002-00370b	‘Where are you from?’     ‘Cambodia.’
CH002-00380b	‘What colour is your car?’    ‘It’s black.’
CH002-00390b	‘How old is Joe?’     ‘He’s 14.’
CH002-00400b	How are your parents?  They're fine.
CH002-00410b	This hat is nice.  How much is it?
CH002-00420b	This hotel is very good so it is quite expensive.
CH002-00430b	What’s the time?
CH002-00440b	Who’re those men?
CH002-00450b	Who’s Lucy?
CH002-00460b	How’re your parents?
CH002-00470b	‘Are you tired?’     ‘No, I'm not.’
CH002-00480b	‘Are you hungry?’     ‘No, I’m not, but I’m tired.’
CH002-00490b	‘Is your friend English?’     ‘No, he isn't.’
CH002-00500b	‘Are these your shoes?’      ‘Yes, they are.’
CH002-00510b	‘This’s my seat.’      ‘No, it isn’t.’
CH003-00520b	She’s reading. She isn’t eating.
CH003-00530b	It isn't raining. The sun is shining.
CH003-00540b	They’re not running. They are walking.
CH003-00550b	I’m not working.  I’m watching TV.
CH003-00560b	Maria is reading a book.
CH003-00570b	She is eating.
CH003-00580b	The bus isn't coming.
CH003-00590b	We’re having lunch.
CH003-00600b	៉I'm not talking to you.
CH003-00610b	The children are reading their books.
CH003-00620b	Please be quiet.  I’m reading.
CH003-00630b	Look, there’s Sarah.  She’s wearing a green coat.
CH003-00640b	The weather is nice.  It’s sunny.
CH003-00650b	‘Where are the children?’     ‘They are having lunch in the kitchen.’
CH003-00660b	(on the phone)   We’re cooking now.  Can I call you later?
CH003-00670b	You can have the newspaper.   I’m not reading it.
CH004-00680b	‘Are you feeling OK?’     ‘No, I feel tired.’
CH004-00690b	‘Is it raining?’      ‘Yes, take a rain jacket.’
CH004-00700b	Why are you wearing a rain coat?  It’s not raining.
CH004-00710b	‘What’s Paul doing?’      ‘He’s cooking for the dinner.’
CH004-00720b	‘What are the children doing?’      ‘They’re reading books.’
CH004-00730b	Look, there’s Emily!  What’s she drinking?
CH004-00740b	Who are you waiting for?  Are you waiting for Steve?
CH004-00750b	Is he teaching today?
CH004-00760b	Is Ben visiting his parents today?
CH004-00770b	Where are they playing?
CH004-00780b	Where are those people reading?
CH004-00790b	‘Are you going now?’      ‘No, I'm not.’
CH004-00800b	‘Is Ben working today?’      ‘์No, he isn't.’
CH004-00810b	‘Is it raining?’      ‘Yes, it is.’
CH004-00820b	‘Are your friends staying at a hotel?’      ‘No, they aren’t.  They’re staying with Julie.’
CH005-00830b	They write a lot.
CH005-00840b	She likes ice cream.
CH005-00850b	I work in a bank.  My brother works in a shop.
CH005-00860b	Lucy lives in Scotland.  Her parents live in London.
CH005-00870b	It doesn't rain in summer.
CH005-00880b	Joe doesn't have a shower everyday
CH005-00890b	I like small towns.
CH005-00900b	Your English is good.  You write welll.
CH005-00910b	Tom doesn't work very hard.  He starts at 9.30 and finishes at 3 o’clock in the evening.
CH005-00920b	The moon goes round the earth.
CH005-00930b	We don't do any things in our free time.
CH005-00940b	It costs a lot of money to build a factory.
CH005-00950b	Sue always gets to work late.
CH005-00960b	I never eat dinner.
CH005-00970b	We often go away at New Year.
CH005-00980b	Mark sometimes plays football on Mondays.
CH005-00990b	I sometimes drive to work, but not very often.
CH006-01000b	She doesn’t drink tea.
CH006-01010b	e doesn’t like his car.
CH006-01020b	I drink tea, but I don’t drink coffee.
CH006-01030b	Sue drinks coffee, but she doesn’t drink tea.
CH006-01040b	You work very hard.
CH006-01050b	We watch TV very often.
CH006-01060b	The weather is usually bad.  It often rains.
CH006-01070b	Sam and Chris know many people.
CH006-01080b	I don’t like basketball.
CH006-01090b	He likes football.
CH006-01100b	I like Fred and  Fred likes me.
CH006-01110b	My car uses much petrol.
CH006-01120b	Sometimes he comes early, but it doesn’t happen very often.
CH006-01130b	I like washing the car.  I do it very often.
CH006-01140b	Sarah doesn't speak Spanish, but she speaks Italian.
CH006-01150b	David does his job very well.
CH006-01160b	Paula usually has breakfast.
CH007-01170b	Do you play the piano?
CH007-01180b	Do your friends work near here?
CH007-01190b	Does Chris play football on Sundays?
CH007-01200b	Does it alway hot here?
CH007-01210b	Where do your parents work?
CH007-01220b	How often do you wash your car?
CH007-01230b	What do these words mean?
CH007-01240b	How much does it cost to travel to Rome by a car?
CH007-01250b	Does Chris always go shopping on Sundays?
CH007-01260b	What do you usually do in the morning?
CH007-01270b	‘What do you do?’     ‘I work in a hospital.’
CH007-01280b	Does she like music?
CH007-01290b	Does he like dogs?
CH007-01300b	‘Do you play the guitar?’     ‘Yes, I do.’
CH007-01310b	‘Do your parents speak Thai?’      ‘Yes, they do.’
CH007-01320b	‘Does James work hard?’      ‘No, he doesn't.’
CH007-01330b	‘Does your sister live in London?’      ‘Yes, she does.’
CH008-01340b	Jack plays the guitar, and he is playing the guitar now.
CH008-01350b	‘Is Jack playing the piano?’     ‘No, he isn’t.’    ‘Does he play the piano?’     ‘Yes, he does.’
CH008-01360b	Please be quiet. I’m waching TV.
CH008-01370b	Tom isn't having a shower at the moment.
CH008-01380b	Take a raincoat with you. It’s raining.
CH008-01390b	You can turn off the television. I’m going to bed.
CH008-01400b	Why are you standing on the table? What are you doing?
CH008-01410b	I sometimes work from 9 o’clock to 5.30.
CH008-01420b	Tom has a shower every day.
CH008-01430b	It doesn't rains in summer.
CH008-01440b	I always watch TV.
CH008-01450b	What do you usually do at Chrismas?
CH008-01460b	I’m tired. I don't want to work.
CH008-01470b	‘Do you know that girl?’     ‘No, I don’t.’
CH008-01480b	I don’t understand. What does he mean?
CH009-01490b	I have red hair.   or   I’ve got red hair.
CH009-01500b	Tom has two brothers.   or   Tom has got two brothers.
CH009-01510b	Our car has four wheels.   or   Our car has got four wheels.
CH009-01520b	Sarah isn’t feeling well.  She has a backache.    or    She’s got a backache.
CH009-01530b	They like animals.  They have a horse and three dogs
CH009-01540b	I don’t have a bicycle.   or    I haven’t got a bicycle.
CH009-01550b	They have two children.   or   They haven got two children.
CH009-01560b	It’s a nice house, but it doesn’t have a pool.
CH009-01570b	Amy doesn’t have a house at the moment. 
CH009-01580b	‘Do you have a car?’     ‘Yes, I do.’   or   ‘Have you got a car?’     ‘Yes, I have.’
CH009-01590b	‘Does Helen have a house?’      ‘No, she doesn't.’   or   ‘Has Helen got a house?’     ‘No, she hasn't.’
CH009-01600b	What kind of phone does she have?   or  What kind of phone has she got?
CH009-01610b	How many friends do they have?   or   How many friends have they got?
CH010-01620b	Now Robert is at home.
CH010-01630b	At noon yesterday he wasn’t at work.
CH010-01640b	He wasn't in bed. He was awake.
CH010-01650b	I am hungry.    I was hungry last night.
CH010-01660b	Where is Kate?   Where was Kate last night?
CH010-01670b	The weather is good today.    The weather was good last night.
CH010-01680b	You are late.  You were late last night.
CH010-01690b	They aren’t here.  They weren’t here last Monday.
CH010-01700b	Last year Rachel was 32, so she is 33 now.
CH010-01710b	When I was a child, I was scared of snakes.
CH010-01720b	We were tired after the journey, but we weren’t hungry.
CH010-01730b	The hotel wasn't  comfortable, but it was expensive.
CH010-01740b	Was the weather nice when you were in Bangkok?
CH010-01750b	Your shirt is nice. Was it expensive?
CH010-01760b	Why were you late last night?
CH010-01770b	‘Were you late?’     ‘Yes, I was’
CH010-01780b	‘Was Tom at work yesterday?’      ‘No, he wasn't.’
CH010-01790b	‘Were Sue and Steve at the party?’      ‘Yes, they were.’
CH011-01800b	They watch TV every day.
CH011-01810b	They read books yesterday evening.
CH011-01820b	I read a book every morning. This morning I read a book.
CH011-01830b	Terry worked in a factory from 2005 to 2011.
CH011-01840b	Yesterday it rained all morning. It stopped at noon.
CH011-01850b	We enjoyed the party yesterday. We danced a lot and talked to a lot of people. The party finished at 4 PM. 
CH011-01860b	I usually get up late, but this morning I got up early.
CH011-01870b	We didn't do a lot of work yesterday. 
CH011-01880b	Caroline didn't go to the cinema last week.
CH011-01890b	James came into the room, sat down and took off his coat.
CH012-01900b	I don’t read a book very often.    I didn’t read a book yesterday. 
CH012-01910b	Does she often go shopping?    Did she go shopping last week?
CH012-01920b	I played tennis yesterday, and I won.
CH012-01930b	‘Did you watch the movie?’   ‘No, I didn’t have time.’ 
CH012-01940b	We went to the cinema, and we enjoyed the film. 
CH012-01950b	Did your sister text you?
CH012-01960b	What did you do yesterday?
CH012-01970b	How did you come here?
CH012-01980b	Where did your parents go last year?
CH012-01990b	‘Did you see Joe yesterday?’       ‘Yes, I did.’
CH012-02000b	‘Did it rain on Sunday?’       ‘No, it didn't.’
CH012-02010b	‘Did Helen come to the party?’        ‘Yes, she did.’
CH012-02020b	‘Did your parents have a good trip?’       ‘Yes, they did.’
CH013-02030b	Paul is at home.    He is cooking.
CH013-02040b	At 4 o’clock he wasn’t at home.    He was at the store.
CH013-02050b	He was swimming in the pool.    He wasn’t reading a book.
CH013-02060b	What were you doing at 11.30 yesterday?  Were you shopping?
CH013-02070b	‘What did he do?’   ‘I don’t know.  I wasn’t looking at him.’
CH013-02080b	It was raining, so we stayed there.
CH013-02090b	In 2009 we were working in Canada.
CH013-02100b	Today she’s wearing trouser, but yesterday she was wearing a skirt.
CH013-02110b	I woke up early yesterday.  It was a terrible morning.  It was raining.
CH013-02120b	I’m sitting.
CH013-02130b	I was watching TV at 10.30 last night.
CH013-02140b	It is raining.
CH013-02150b	It wasn’t cold when we went out.
CH013-02160b	Who are you talking with?
CH013-02170b	Where were you at 3 o’clock?
CH014-02180b	What happened?  There was an accident.
CH014-02190b	What was Jack doing when his phone rang?    He was cooking a meal.
CH014-02200b	What did he do when his phone rang?    He stopped cooking and answered his phone.
CH014-02210b	A: What did you do yesterday morning?    B: We played football.
CH014-02220b	A: What were you doing at 10.30?    B: We were playing football.
CH014-02230b	Jack read a book last night.
CH014-02240b	Jack was reading a book when there was a blackout.
CH014-02250b	Did you watch the football match on TV last night?
CH014-02260b	Were you cooking a meal when I phoned you?
CH014-02270b	It rained while we were on holiday.
CH014-02280b	It was raining when I got up.
CH014-02290b	I started work at 9 o’clock and finished at 4.30. At 2.30 I was at work.
CH014-02300b	It was raining when we got home.
CH014-02310b	I saw Lucy and Steve yesterday.  They were waiting at the bus stop.
CH014-02320b	Kelly fell asleep while she was watching TV.
CH015-02330b	He has cleaned his house.
CH015-02340b	They have been here.
CH015-02350b	I’ve lost my wallet.
CH015-02360b	‘Where’s Rebecca?’     ‘She’s gone out.’
CH015-02370b	We’ve bought a new house.
CH015-02380b	It’s Rachel’s birthday tomorrow and I haven’t bought her a birthday card.
CH015-02390b	‘Bob has gone away.’     ‘Oh, where has he gone?’
CH015-02400b	Can I take this magazine?  Have you finished with it?
CH016-02410b	A:  Are Laura and Paul here?    B:  No, they haven't arrived yet.
